epsilon,synthesizer,trial,alpha,beta,gamma,t_count,q_count,cost,distance,duration_ms,success,gates
1e-03,cyclosynth_t,0,2.6165054846891564,1.2378515633346712,2.6790733773138955,26,0,26.0,5.213442e-04,26.449,True,HTHSHTHZSHTHTHTHSHTHTHTHZSHTHSTHTHZSHTHSHTHZSHTHSHTHZSTHTHSTHTHTHTHTHTHZSHTHSHTHZSHTHZHSH
1e-03,cyclosynth_sqrt_t,0,2.6165054846891564,1.2378515633346712,2.6790733773138955,15,2,21.0,9.523219e-04,973.827,True,STHTHZSHTHSTHTQHZSHQHSHTHZSHTHSHTHZSHTHTHTHTHTHSHTHZSHTHZ
1e-03,gridsynth,0,2.6165054846891564,1.2378515633346712,2.6790733773138955,99,0,99.0,3.481074e-04,239.671,True,XHTSHTSHTSHTHTHTHTSHTHTHTSHTSHTHTSHTHTHTHTHTSHTSHTSHTSHTSHTSHTSHTHTSHTHTSHTHTHTXSSHSHTHTSHTSHTHTSHTSHTSHTHTSHTSHTHTHTHTSHTSHTHTHTHTSHTSHTSHTHTSHTHTSHTHTSHTSHTHTSHTHTSHTSHTHTXSSHSHHTHTHTSHTHTHTSHTSHTHTHTHTSHTHTHTHTHTHTHTHTSHTHTHTSHTSHTSHTSHTHTSHTSHTHTSHTHTHTXSS
1e-03,cyclosynth_t,1,5.483742411209366,0.8034120045360506,3.0335449354984165,25,0,25.0,4.901130e-04,20.788,True,STHTHTHTHTHTHZSHTHSTHTHTHTHZSHTHSHTHTHTHZSHTHSHTHZSHTHSHTHTHTHTHTHZSTHT
1e-03,cyclosynth_sqrt_t,1,5.483742411209366,0.8034120045360506,3.0335449354984165,12,3,21.0,8.551129e-04,924.655,True,HTHSHTHZSTQHTQHSHQHZSHTHSHTHZSTHTHSTHTHTHTHZSYHSH
1e-03,gridsynth,1,5.483742411209366,0.8034120045360506,3.0335449354984165,94,0,94.0,5.734253e-04,156.540,True,XHTHTHTSHTHTSHTHTSHTHTHTHTSHTHTSHTHTSHTHTHTSHTSHTSHTHTSHTSHTSHTSHTHTHTHTSHTSHSHHTHTSHTHTHTSHTSHTHTSHTSHTHTHTHTSHTSHTSHTHTHTSHTSHTHTSHTSHTSHTHTHTHTHTHTSHTSHTHSHHTHTHTHTHTSHTSHTHTHTHTHTSHTHTHTHTSHTSHTHTHTHTSHTSHTSHTSHTHTHTSHTSHTSHTHTHTSHTSHTXS
1e-03,cyclosynth_t,2,4.228700742498168,1.6197734838866595,2.524089576946691,22,0,22.0,5.309288e-04,25.468,True,HTHSHTHTHTHTHTHTHTHZSHTHSHTHZSHTHSHTHZSHTHTHTHSHTHZSHTHSTHTHZSHTHSHTHZSHTHZHSH
1e-03,cyclosynth_sqrt_t,2,4.228700742498168,1.6197734838866595,2.524089576946691,17,1,20.0,3.721470e-04,982.275,True,THQHSTHTHZSTHTHSHTHZSHTHSHTHZSTHTHTHTHSTHTHTHTHZSTYSH
1e-03,gridsynth,2,4.228700742498168,1.6197734838866595,2.524089576946691,96,0,96.0,3.541851e-04,207.408,True,XSHTSHTSHTHTSHTSHTSHTSHTHTSHTHTHTSHTSHTSHTSHTHTSHTHTSHTHTHTHTSHTSHTSHTSHTHTSHTHTSHTHSSHSHSHTHTSHTHTSHTHTSHTSHTHTSHTSHTSHTSHTHTHTSHTSHTHTSHTHTSHTSHTSHTHTHTSHTHTSHTSHTHTSHTHTSHTSHSSHSHHTSHTHTSHTSHTHTSHTSHTHTHTSHTSHTSHTSHTSHTHTSHTHTHTHTHTHTHTHTHTHTHTHTHTHTHTHTSHXSSS
1e-03,cyclosynth_t,3,1.685063399960104,1.5147620570912237,0.6980635234753778,23,0,23.0,7.757771e-04,25.015,True,HTHSHTHZSTHTHSTHTHZSTHTHSHTHZSTHTHSHTHZSHTHTHTHTHTHTHTHTHTHSHTHZSHSTH
1e-03,cyclosynth_sqrt_t,3,1.685063399960104,1.5147620570912237,0.6980635234753778,9,4,21.0,5.407019e-04,1001.144,True,SHTHQHTQHZSTHQHSHTHZSHTHSTHTHTHTHZSHQHZ
1e-03,gridsynth,3,1.685063399960104,1.5147620570912237,0.6980635234753778,101,0,101.0,5.418694e-04,243.740,True,XHTSHTHTSHTSHTHTSHTSHTHTHTHTHTSHTHTSHTHTSHTHTSHTHTSHTSHTHTHTHTHTHTHTSHTSHTSHTHTHTHTSHTXSSSHSHHTSHTHTSHTHTHTSHTSHTSHTSHTHTHTSHTSHTSHTHTHTSHTHTSHTHTHTHTHTHTHTHTHTSHTHTHTHTSHTXSHSHHTSHTSHTHTHTHTHTHTSHTSHTSHTSHTSHTHTSHTSHTSHTSHTHTSHTSHTSHTHTSHTHTSHTSHTSHTSHTSHTHTSHTHTSHXS
1e-03,cyclosynth_t,4,4.775766341920788,1.4930083849684646,0.5523684256289656,24,0,24.0,4.427371e-04,25.782,True,HTHTHTHTHTHTHTHSHTHZSHTHSTHTHTHTHZSTHTHSTHTHZSHTHTHTHSTHTHZSTHTHXHS
1e-03,cyclosynth_sqrt_t,4,4.775766341920788,1.4930083849684646,0.5523684256289656,8,4,20.0,8.889558e-04,781.902,True,THTHSTHQHTHTHZSHQHSHTHZSHQHSHTHQHTHZSHS
1e-03,gridsynth,4,4.775766341920788,1.4930083849684646,0.5523684256289656,97,0,97.0,3.628673e-04,195.292,True,XSHTHTHTSHTHTSHTHTHTHTHTSHTHTSHTSHTHTSHTHTHTSHTSHTHTSHTHTSHTHTSHTSHTHTSHTHTHTSHTSSHSHHTSHTSHTSHTSHTSHTHTHTHTSHTSHTHTHTHTSHTSHTHTSHTHTSHTSHTHTSHTSHTHTHTHTSHTHTSHTSHTSHTSHTHTSHSHSHHTHTSHTHTHTSHTHTSHTSHTHTHTHTHTHTSHTHTHTSHTHTSHTHTHTHTHTHTHTSHTSHTSHTHTSHTHXS
1e-03,cyclosynth_t,5,4.831255329982728,2.373544619881996,0.9549707463287176,26,0,26.0,7.978329e-04,25.197,True,THTHSHTHZSHTHSTHTHZSHTHSHTHZSHTHSTHTHZSTHTHTHTHSHTHZSHTHTHTHSTHTHZSHTHSHTHTHTHZSTYS
1e-03,cyclosynth_sqrt_t,5,4.831255329982728,2.373544619881996,0.9549707463287176,14,2,20.0,6.134020e-04,985.792,True,THTHTHTHSTHQHZSHTHTHTHSHTHZSTHTHSTHQHZSHTHSHTHZSHSH
1e-03,gridsynth,5,4.831255329982728,2.373544619881996,0.9549707463287176,88,0,88.0,8.729869e-04,107.637,True,XSHTHTHTSHTHTHTSHTSHTHTSHTSHTHTSHTHTHTHTHTHTHTHTHTHTHTSHTHTSHTHTHTSHTSHHSHHTHTSHTSHTHTHTHTSHTHTHTSHTSHTSHTSHTHTSHTHTHTSHTHTHTSHTHTSHTHTHTHTSHTHTSHTHTXHSHSHTHTHTSHTHTSHTHTHTHTHTSHTSHTSHTSHTHTHTSHTHTHTSHTHTHTSHTSHTSHTHTSHTSHTH
1e-03,cyclosynth_t,6,5.426169286401546,2.1034511580239075,6.177707008212469,26,0,26.0,7.754788e-04,26.685,True,HTHTHTHSHTHTHTHZSTHTHSHTHZSHTHSHTHTHTHZSHTHSTHTHZSHTHSTHTHZSTHTHSTHTHZSTHTHSHTHZSHS
1e-03,cyclosynth_sqrt_t,6,5.426169286401546,2.1034511580239075,6.177707008212469,12,3,21.0,6.420537e-04,831.735,True,HTHTHTQHSTHQHZSHTHSHQHZSTHTHSHTHZSTHTHSHTHZSHST
1e-03,gridsynth,6,5.426169286401546,2.1034511580239075,6.177707008212469,91,0,91.0,5.061365e-04,108.738,True,XTSHTHTHTHTHTHTSHTHTHTHTHTHTSHTHTHTHTSHTHTHTHTHTHTHTHTSHTSHTSHTSHTHTSHHSHSHTHTHTSHTSHTSHTSHTHTHTHTSHTSHTSHTSHTSHTSHTHTHTHTSHTHTHTSHTSHTSHTHTSHTHTHTSHTSHTSSSHSHSHTSHTSHTHTHTHTSHTSHTSHTSHTSHTHTHTSHTSHTHTHTSHTSHTHTSHTHTSHTHTHTHTHTSHTHTHTHXSSS
1e-03,cyclosynth_t,7,4.208496074001912,1.21191400167988,3.6848823758499263,27,0,27.0,6.967941e-04,26.770,True,THTHTHTHTHTHSHTHZSHTHSHTHZSHTHSHTHZSHTHTHTHSHTHZSHTHSHTHTHTHZSHTHSTHTHZSTHTHSHTHTHTH
1e-03,cyclosynth_sqrt_t,7,4.208496074001912,1.21191400167988,3.6848823758499263,5,5,20.0,4.870105e-04,851.743,True,HQHSHQHZSHQHSHTHZSTQHTHSQHTHZSHTHX
1e-03,gridsynth,7,4.208496074001912,1.21191400167988,3.6848823758499263,101,0,101.0,7.220842e-04,270.295,True,XSHTSHTHTHTHTHTHTSHTHTHTHTSHTHTHTHTSHTSHTHTSHTSHTHTSHTHTSHTSHTSHTHTSHTSHTSHTHTSHTHTXHSHSHTSHTHTHTHTHTHTHTSHTSHTHTSHTHTHTHTHTSHTHTHTHTSHTSHTSHTHTSHTHTHTSHTHTSHTHTHTSHTSHTSHXSSHSHSHTSHTSHTSHTSHTHTSHTSHTHTSHTSHTHTHTSHTHTSHTSHTHTHTHTHTHTSHTHTHTHTHTHTHTHTHTHTSHTHTXS
1e-03,cyclosynth_t,8,1.1904287197601895,2.3256179596047257,0.5733113949931143,24,0,24.0,9.298168e-04,25.467,True,HTHSTHTHZSHTHSHTHZSTHTHSHTHZSTHTHSTHTHTHTHZSHTHTHTHSHTHZSHTHSTHTHZSHTHSHTHST
1e-03,cyclosynth_sqrt_t,8,1.1904287197601895,2.3256179596047257,0.5733113949931143,10,4,22.0,9.749785e-04,907.559,True,SHQHZSHQHSTHTHTHTHTHQHZSTHTQHSTHTHSTHSH
1e-03,gridsynth,8,1.1904287197601895,2.3256179596047257,0.5733113949931143,91,0,91.0,5.007896e-04,146.607,True,XHTSHTSHTSHTSHTSHTHTSHTSHTHTHTSHTSHTSHTSHTHTSHTHTHTHTHTHTHTSHTHTHTHTHTSHTSHTSHTHTSHTHSHSHTHTHTSHTSHTSHTHTSHTHTHTHTHTHTHTHTSHTSHTHTSHTSHTHTHTHTHTSHTSHTSHTHTSHTHTSHSHSHTSHTHTHTSHTHTSHTSHTHTSHTSHTSHTHTSHTSHTSHTHTSHTSHTHTSHTHTSHTHTSHTSHTHTHTHXSSS
1e-03,cyclosynth_t,9,4.97594225823211,1.6789963723621595,1.235036137994277,23,0,23.0,8.660276e-04,25.777,True,HTHSHTHZSTHTHSHTHZSHTHSHTHZSHTHTHTHSHTHZSTHTHSHTHZSHTHSHTHZSHTHSTHTHZSHTHTHTHTXHSH
1e-03,cyclosynth_sqrt_t,9,4.97594225823211,1.6789963723621595,1.235036137994277,23,0,23.0,8.660276e-04,1009.080,True,HTHSHTHZSTHTHSHTHZSHTHSHTHZSHTHTHTHSHTHZSTHTHSHTHZSHTHSHTHZSHTHSTHTHZSHTHTHTHTXHSH
1e-03,gridsynth,9,4.97594225823211,1.6789963723621595,1.235036137994277,92,0,92.0,7.064394e-04,220.309,True,XHTHTSHTHTSHTHTHTHTSHTHTSHTHTHTSHTSHTHTSHTHTHTSHTSHTSHTSHTHTHTSHTSHTSHXHSHHTSHTHTSHTSHTSHTHTSHTHTSHTHTSHTHTHTHTSHTHTSHTHTSHTHTHTHTSHTHTSHTHTSHTHTSHTSHTSHTHTSHSSHSHSHTSHTSHTSHTSHTHTHTHTHTSHTHTHTSHTSHTSHTHTSHTHTSHTHTHTSHTHTSHTSHTHTHTSHTHTHTSHTSHTSHSSS
1e-03,cyclosynth_t,10,6.1942409439275625,2.1644948135091155,6.281831444688308,26,0,26.0,8.311206e-04,22.186,True,THTHSHTHZSHTHTHTHTHTHSHTHZSTHTHSHTHTHTHZSHTHTHTHTHTHSHTHZSHTHSHTHTHTHZSTHTHYSH
1e-03,cyclosynth_sqrt_t,10,6.1942409439275625,2.1644948135091155,6.281831444688308,16,1,19.0,9.444272e-04,835.782,True,SHTHTHTHZSHTHSTHTHZSTHTHSHTHZSHTHTHTHSHTHZSHTHTHTHSHQHZSXSH
1e-03,gridsynth,10,6.1942409439275625,2.1644948135091155,6.281831444688308,93,0,93.0,5.831516e-04,115.583,True,XSHTSHTHTSHTHTSHTHTHTSHTHTHTSHTHTSHTSHTSHTSHTHTSHTHTHTSHTHTHTSHTHTSHTHTSHSSSHSHSHTSHTHTSHTSHTSHTHTHTHTSHTHTSHTHTSHTHTSHTSHTHTSHTSHTSHTHTSHTHTHTHTHTSSHSHHTHTSHTHTSHTSHTHTSHTHTHTHTHTSHTSHTHTSHTSHTSHTHTSHTSHTHTSHTSHTHTSHTSHTSHTSHTHTSHTHTSHTSHTHTSHTHTSHTHS
1e-03,cyclosynth_t,11,1.1915213056989429,1.692811384613683,2.4735197059237093,28,0,28.0,8.410881e-04,25.819,True,THTHTHTHTHTHSHTHZSHTHSTHTHZSHTHSHTHZSHTHTHTHSHTHTHTHZSHTHSHTHZSHTHSHTHTHTHZSTHTHSTHT
1e-03,cyclosynth_sqrt_t,11,1.1915213056989429,1.692811384613683,2.4735197059237093,12,3,21.0,5.191381e-04,882.584,True,HTHTHTHSQHTHZSHTHTHTHSHTHZSTHQHSHTHTQHTHSHSH
1e-03,gridsynth,11,1.1915213056989429,1.692811384613683,2.4735197059237093,91,0,91.0,4.472682e-04,139.448,True,XHTHTHTSHTSHTSHTSHTSHTHTSHTHTHTHTSHTSHTHTSHTSHTSHTHTHTSHTSHTHTHTSHTHTSHTHTXSSSHSHHTSHTSHTHTSHTHTSHTSHTSHTSHTSHTSHTSHTHTHTSHTSHTHTHTHTHTSHTSHTHTHTSHTSHTSHTSHTSHTHTHXSHSHHTHTSHTSHTSHTHTHTHTSHTHTHTHTSHTSHTHTHTHTSHTSHTHTSHTHTHTHTSHTHTSHTHTSHTSHTHTHS
1e-03,cyclosynth_t,12,5.593407042751166,1.2242072420740764,3.289843379698702,27,0,27.0,8.092956e-04,25.638,True,HTHTHTHSHTHZSTHTHTHTHSHTHZSHTHSHTHZSHTHSHTHZSHTHSHTHZSHTHSTHTHTHTHTHTHTHTHZSHTHSHTHZSTY
1e-03,cyclosynth_sqrt_t,12,5.593407042751166,1.2242072420740764,3.289843379698702,11,3,20.0,7.082280e-04,764.378,True,HTHSHTHZSHQHSHTHTHTHZSHTHTHTHSHTHZSQHQHSHTHZSHT
1e-03,gridsynth,12,5.593407042751166,1.2242072420740764,3.289843379698702,82,0,82.0,8.910162e-04,92.827,True,XSHTHTSHTSHTSHTSHTSHTSHTSHTSHTHTSHTHTSHTHTHTSHTHTSHTHTSHTSHTSHTSHTSHTSHTSHTSHTHSSSHSHSHTHTHTSHTSHTHTSHTHTSHTHTSHTHTHTHTSHTSHTSHTSHTSHTHTHTSHTHTSHTSHTSHTSHTHTSHTSHTHTHXSSSHSHSHTSHTSHTHTSHTSHTHTSHTSHTHTHTSHTSHTHTHTSHTSHTHTSHTSHTHTSHTSHTSS
1e-03,cyclosynth_t,13,2.748253841938916,0.29511139251529506,3.468577982170638,28,0,28.0,6.291178e-04,30.884,True,HTHSHTHTHTHZSHTHTHTHSTHTHZSHTHTHTHTHTHSTHTHZSHTHSHTHTHTHTHTHZSHTHSTHTHTHTHZSHTH
1e-03,cyclosynth_sqrt_t,13,2.748253841938916,0.29511139251529506,3.468577982170638,14,1,17.0,9.666451e-04,972.230,True,SQHTHZSTHTHSHTHZSHTHSTHTHZSTHTHTHTHSTHTHZSTYHS
1e-03,gridsynth,13,2.748253841938916,0.29511139251529506,3.468577982170638,86,0,86.0,4.377813e-04,120.075,True,XSHTHTHTHTSHTSHTHTSHTSHTHTSHTHTSHTHTHTSHTSHTSHTSHTSHTHTSHTSHTSHTHTSHTSHTSHTHTSHTHTSHTSHXSHSHSHTSHTHTHTSHTHTSHTHTHTSHTSHTSHTSHTSHTSHTHTHTSHTHTSHTHTHTSHSSHSHSHTHTSHTHTHTSHTSHTHTSHTSHTHTSHTSHTHTHTHTHTHTHTSHTHTSHTSHTHTSHTHTHTSHTSHTHTSHTHTSHXS
1e-03,cyclosynth_t,14,3.9795178032361425,1.2199140839169111,3.1071498971162765,21,0,21.0,4.437582e-04,25.370,True,SHTHZSTHTHSTHTHZSHTHSHTHTHTHZSHTHSHTHZSHTHSHTHZSHTHTHTHSHTHZSTHTHTHT
1e-03,cyclosynth_sqrt_t,14,3.9795178032361425,1.2199140839169111,3.1071498971162765,9,3,18.0,9.534761e-04,920.631,True,QHTHSHTHZSTHTHSQHTHZSHTHSHTHZSTHTHQHSH
1e-03,gridsynth,14,3.9795178032361425,1.2199140839169111,3.1071498971162765,95,0,95.0,4.526442e-04,215.417,True,XHTHTSHTSHTHTHTSHTSHTSHTSHTHTHTHTSHTSHTHTSHTSHTHTHTHTSHTSHTSHTSHTHTHTSHTSHTHTSHSHHTSHTHTSHTHTHTHTHTSHTHTSHTHTSHTSHTHTHTSHTHTSHTHTSHTSHTHTSHTSHTHTSHTSHTHTHTSHTHTSHTXSSSHSHHTHTSHTSHTSHTHTSHTHTHTSHTHTSHTHTSHTSHTSHTHTHTSHTSHTSHTSHTHTSHTSHTHTSHTSHTSHTHTSHTHTHXSSS
1e-03,cyclosynth_t,15,1.483468225583194,1.9057173021852805,1.3263765928758868,27,0,27.0,4.560962e-04,25.239,True,THTHSHTHZSHTHSHTHTHTHZSHTHSHTHZSHTHSHTHZSTHTHTHTHSTHTHZSHTHSHTHTHTHZSTHTHSHTHZSTHTHSHTHZSYS
1e-03,cyclosynth_sqrt_t,15,1.483468225583194,1.9057173021852805,1.3263765928758868,14,2,20.0,8.366256e-04,892.138,True,QHTHTHTQHSHTHZSTHTHSTHTHZSTHTHSHTHZSTHTHTY
1e-03,gridsynth,15,1.483468225583194,1.9057173021852805,1.3263765928758868,94,0,94.0,9.333853e-04,164.994,True,XSHTSHTHTSHTSHTSHTSHTSHTHTHTSHTHTSHTSHTSHTHTHTHTSHTHTHTSHTSHTHTSHTHTSHTSHTSHTSHTSHTSHTHSSHSHSHTSHTSHTHTSHTSHTHTSHTHTSHTSHTSHTHTHTSHTSHTHTSHTSHTHTSHTSHTHTSHTSHTSHTSHTHTSHTSHTSHTSHTSHTHSSHSHHTSHTHTHTHTSHTHTSHTHTHTHTSHTHTSHTHTSHTSHTHTSHTHTHTHTSHTHTHTSHTSHTSHTHTSHSS
1e-03,cyclosynth_t,16,4.6285068485999386,1.2504083126522734,4.392278541700472,26,0,26.0,7.347987e-04,25.254,True,HTHTHTHSHTHZSTHTHSHTHZSTHTHSHTHZSHTHSTHTHZSHTHSTHTHTHTHZSHTHSHTHZSHTHTHTHTHTHSHTHZSXS
1e-03,cyclosynth_sqrt_t,16,4.6285068485999386,1.2504083126522734,4.392278541700472,9,4,21.0,9.289580e-04,777.882,True,THQHSHQHZSHTHTHTHSTHQHZSHTHSTHQHZSHTHSHTHZSHS
1e-03,gridsynth,16,4.6285068485999386,1.2504083126522734,4.392278541700472,87,0,87.0,5.343549e-04,93.231,True,XHTHTHTSHTHTHTHTHTHTHTSHTSHTSHTHTHTHTSHTSHTSHTHTHTHTSHTHTHTHTSHTSHTHTXSHSHSHTSHTHTHTSHTHTHTSHTSHTSHTSHTSHTSHTHTSHTSHTHTHTHTSHTSHTSHTHTSHTSHTSHTHTHTHTSHXSSSHSHSHTHTHTSHTSHTSHTHTHTHTHTHTSHTSHTSHTHTHTHTHTHTHTSHTHTHTSHTSHTSHTSHTSHTSHTSHXSSS
1e-03,cyclosynth_t,17,4.289557413884852,1.244282570447266,6.08161961047622,27,0,27.0,2.624272e-04,26.093,True,THTHTHTHTHTHSHTHTHTHZSHTHTHTHSHTHZSTHTHSHTHZSHTHSTHTHTHTHTHTHZSHTHTHTHTHS
1e-03,cyclosynth_sqrt_t,17,4.289557413884852,1.244282570447266,6.08161961047622,12,2,18.0,9.534961e-04,1001.439,True,SHTHZSTHTHSHTHZSQHTHSHTHZSHTHSTHTHZSHTHSHTHZSHQHSHTHZSXSH
1e-03,gridsynth,17,4.289557413884852,1.244282570447266,6.08161961047622,93,0,93.0,9.461264e-04,141.358,True,XSHTHTSHTHTHTSHTHTHTHTHTSHTHTHTHTHTSHTSHTSHTSHTSHTSHTSHTHTHTSHTSHTSHTHTSHTSHTSHTHTHTSHTHXSSHSHHTHTHTHTSHTSHTSHTHTHTHTSHTHTSHTHTHTSHTHTSHTSHTHTSHTSHTSHTSHTSHTHTSHTHTSHTSHTHTHXHSHHTHTHTSHTSHTHTHTHTHTSHTHTHTSHTHTSHTSHTHTSHTHTHTSHTHTHTHTHTSHTSHTHTHS
1e-03,cyclosynth_t,18,2.1106483022950835,2.1624989580510645,2.531405518047014,24,0,24.0,7.413496e-04,26.004,True,THTHSTHTHZSTHTHSHTHZSHTHSHTHZSHTHTHTHSHTHTHTHZSHTHSTHTHTHTHZSHTHSHTHZSTHTHYSH
1e-03,cyclosynth_sqrt_t,18,2.1106483022950835,2.1624989580510645,2.531405518047014,7,4,19.0,5.898105e-04,785.465,True,SHTHZSHTHSHQHZSHTHTHTHSQHTHZSQHQHTYH
1e-03,gridsynth,18,2.1106483022950835,2.1624989580510645,2.531405518047014,96,0,96.0,4.162133e-04,264.478,True,XSHTSHTSHTSHTHTHTSHTSHTSHTSHTHTHTSHTSHTSHTHTSHTSHTHTHTSHTSHTSHTSHTSHTSHTHTHTHTHTSSHSHHTSHTHTSHTHTHTHTHTSHTSHTSHTHTSHTSHTHTSHTHTSHTSHTSHTSHTHTSHTHTSHTHTHTSHTSHTHTSHTHTSHTSHXHSHSHTHTHTSHTHTSHTSHTHTSHTHTHTSHTHTHTHTHTSHTSHTSHTHTHTSHTSHTSHTSHTSHTSHTHTSHTSHTHTHTHTSHS
1e-03,cyclosynth_t,19,3.5963425244379157,1.4983194513435476,5.080976399817981,24,0,24.0,7.620571e-04,25.982,True,STHTHTHTHZSTHTHSHTHZSHTHSHTHZSTHTHSTHTHZSTHTHTHTHSTHTHZSTHTHTHTHSHTH
1e-03,cyclosynth_sqrt_t,19,3.5963425244379157,1.4983194513435476,5.080976399817981,12,2,18.0,9.290850e-04,896.588,True,THTQHSTHTHTQHTHZSTHTHSHTHZSHTHSTHTHS
